GroupID,Length(mm),Quantity,Members
1,142,3,BAA↔BX1Z4 | BAB↔CX1Z4 | BAC↔AX1Z4
2,184,3,BAB↔BX2Z2 | BAC↔CX2Z2 | BAA↔AX2Z2
3,272,3,TAA↔AX1Z0 | TAB↔BX1Z0 | TAC↔CX1Z0
4,292,3,AX1Z1↔AX3Z4 | BX1Z1↔BX3Z4 | CX1Z1↔CX3Z4
5,344,3,CX2Z5↔CX4Z2 | BX2Z5↔BX4Z2 | AX2Z5↔AX4Z2
6,457,3,CX1Z3↔CX3Z0 | BX1Z3↔BX3Z0 | AX1Z3↔AX3Z0
7,600,3,BX2Z1↔BX4Z4 | AX2Z1↔AX4Z4 | CX2Z1↔CX4Z4
8,654,3,TOA↔CX1Z2 | TOC↔BX1Z2 | TOB↔AX1Z2
9,700,3,TAC↔AX2Z4 | TAB↔CX2Z4 | TAA↔BX2Z4
10,733,3,BX2Z0↔BX1Z5 | CX2Z0↔CX1Z5 | AX2Z0↔AX1Z5
11,738,3,CX3Z2↔CX2Z3 | AX3Z2↔AX2Z3 | BX3Z2↔BX2Z3
12,741,3,CX3Z2↔CX2Z1 | BX3Z2↔BX2Z1 | AX3Z2↔AX2Z1
13,745,3,CX2Z0↔CX1Z3 | AX2Z0↔AX1Z3 | BX2Z0↔BX1Z3
14,750,6,CX4Z0↔CX3Z3 | BX4Z0↔BX3Z3 | AX4Z0↔AX3Z3 | CX3Z4↔CX2Z1 | AX3Z4↔AX2Z1 | BX3Z4↔BX2Z1
15,756,3,CX4Z4↔CX3Z5 | AX4Z4↔AX3Z5 | BX4Z4↔BX3Z5
16,763,3,CX1Z2↔BOA | AX1Z2↔BOB | BX1Z2↔BOC
17,765,6,BX2Z4↔BX1Z5 | CX2Z4↔CX1Z5 | AX2Z4↔AX1Z5 | AX3Z0↔AX2Z3 | BX3Z0↔BX2Z3 | CX3Z0↔CX2Z3
18,766,3,CX1Z4↔TAB | BX1Z4↔TAA | AX1Z4↔TAC
19,769,3,AX2Z3↔AX4Z0 | BX2Z3↔BX4Z0 | CX2Z3↔CX4Z0
20,777,3,AX3Z0↔AX2Z5 | CX3Z0↔CX2Z5 | BX3Z0↔BX2Z5
21,778,3,AX4Z2↔AX3Z1 | CX4Z2↔CX3Z1 | BX4Z2↔BX3Z1
22,780,3,AX1Z2↔TAC | BX1Z2↔TAA | CX1Z2↔TAB
23,790,6,CX2Z2↔CX1Z3 | AX2Z2↔AX1Z3 | BX2Z2↔BX1Z3 | CX3Z4↔CX2Z5 | BX3Z4↔BX2Z5 | AX3Z4↔AX2Z5
24,801,3,AX1Z0↔BOB | CX1Z0↔BOA | BX1Z0↔BOC
25,805,3,CX2Z4↔CX1Z1 | BX2Z4↔BX1Z1 | AX2Z4↔AX1Z1
26,834,6,CX2Z2↔CX1Z1 | AX2Z2↔AX1Z1 | BX2Z2↔BX1Z1 | CX1Z0↔BAC | AX1Z0↔BAA | BX1Z0↔BAB
27,838,3,BX1Z4↔BAB | CX1Z4↔BAC | AX1Z4↔BAA
28,841,3,CX4Z0↔CX3Z5 | BX4Z0↔BX3Z5 | AX4Z0↔AX3Z5
29,877,3,CX4YZ0↔CX4Z5 | AX4YZ0↔AX4Z5 | BX4YZ0↔BX4Z5
30,880,3,BX3Z1↔BX4Z5 | CX3Z1↔CX4Z5 | AX3Z1↔AX4Z5
31,883,3,AX3Z3↔AX4Z3 | CX3Z3↔CX4Z3 | BX3Z3↔BX4Z3
32,888,3,BX4Z2↔BX3Z3 | CX4Z2↔CX3Z3 | AX4Z2↔AX3Z3
33,890,3,CX4YZ0↔CX4Z3 | AX4YZ0↔AX4Z3 | BX4YZ0↔BX4Z3
34,892,3,AX4Z4↔AX3Z1 | CX4Z4↔CX3Z1 | BX4Z4↔BX3Z1
35,893,3,CX4YZ0↔CX4Z1 | AX4YZ0↔AX4Z1 | BX4YZ0↔BX4Z1
36,955,1,YZ0↔TOB
37,959,1,YZ0↔TOA
38,963,1,YZ0↔TOC
39,966,3,BOC↔BX2Z0 | BOB↔AX2Z0 | BOA↔CX2Z0
40,1016,3,AX3Z5↔AX4Z1 | BX3Z5↔BX4Z1 | CX3Z5↔CX4Z1
41,1024,3,AX1Z5↔AX3Z2 | BX1Z5↔BX3Z2 | CX1Z5↔CX3Z2
42,1190,3,BX1Z4↔BX1Z1 | CX1Z4↔CX1Z1 | AX1Z4↔AX1Z1
43,1269,3,AX2Z2↔AX2Z5 | BX2Z2↔BX2Z5 | CX2Z2↔CX2Z5
44,1271,3,BX1Z0↔BX1Z3 | AX1Z0↔AX1Z3 | CX1Z0↔CX1Z3
45,1276,3,BX4Z0↔BX4Z3 | CX4Z0↔CX4Z3 | AX4Z0↔AX4Z3
46,1279,3,AX4Z2↔AX4Z5 | BX4Z2↔BX4Z5 | CX4Z2↔CX4Z5
47,1281,3,CX4Z4↔CX4Z1 | AX4Z4↔AX4Z1 | BX4Z4↔BX4Z1
48,1288,3,AX1Z2↔AX1Z5 | BX1Z2↔BX1Z5 | CX1Z2↔CX1Z5
49,1300,3,CX2Z0↔CX2Z3 | AX2Z0↔AX2Z3 | BX2Z0↔BX2Z3
50,1305,3,AX2Z4↔AX2Z1 | CX2Z4↔CX2Z1 | BX2Z4↔BX2Z1
51,1307,3,CX4YZ1↔CX4Z1 | AX4YZ1↔AX4Z1 | BX4YZ1↔BX4Z1
52,1314,3,CX4YZ1↔CX4Z3 | AX4YZ1↔AX4Z3 | BX4YZ1↔BX4Z3
53,1318,3,CX4YZ1↔CX4Z5 | AX4YZ1↔AX4Z5 | BX4YZ1↔BX4Z5
54,1362,1,YZ1↔TOC
55,1363,3,BX3Z4↔BX3Z1 | CX3Z4↔CX3Z1 | AX3Z4↔AX3Z1
56,1368,1,YZ1↔TOA
57,1369,3,BX3Z2↔BX3Z5 | CX3Z2↔CX3Z5 | AX3Z2↔AX3Z5
58,1374,1,YZ1↔TOB
59,1383,3,AX3Z0↔AX3Z3 | CX3Z0↔CX3Z3 | BX3Z0↔BX3Z3
60,1410,3,BOA↔TOB | BOC↔TOA | BOB↔TOC
