# Open Claw, Phase: slack, Height: 10953.9mm, Created: 2026-05-26 12:36
#
# === Connector parameters (see diagram) ===
# A  radius van de buis (push_radius):        20.0mm  (0.02000m)
# B  marge (push_radius_margin):              1.0mm  (0.00100m)
# C  offset door radius (= t1/2):             2.5mm  (0.00250m)
# D  randafstand (tab_extension):           30.0mm  (0.03000m)
# E  diameter gat (tab_hole_diameter):      14.0mm  (0.01400m)
# t1 dikte staal (disc_thickness):             5.0mm  (0.00500m)
# t2 dikte POM (disc_separator):              2.0mm  (0.00200m)
#    cap_thickness:                           5.0mm  (0.00500m)
#    pull_radius:                             7.0mm  (0.00700m)
#
# === Afgeleide waarden ===
#    A + B + C  = 23.5mm  (halve breedte schijf)
#    C + D + E  = 46.5mm  (tab lengte)
#    t1 + t2    = 7.0mm  (schijf + separator)
#    disc_center_offset(0) = 9.5mm  (as-afstand tot centrum eerste schijf)
#
# Orientation check (CSV coords, mm, Z-up): ground plane at Z=0, apex at Z=10953.9
# Lowest[1]: joint=C52 X=2953.9 Y=884.0 Z=3769.5
# Lowest[2]: joint=B52 X=-711.8 Y=-2999.5 Z=3769.6
# Lowest[3]: joint=A52 X=-2241.8 Y=2117.0 Z=3770.0
# Highest:   joint=Z1 X=0.8 Y=-0.1 Z=10953.9
# === Bend snap quality ===
# Bend count (K):       4
# Magnitude source:     LOCKED to factory inventory (no per-export reoptimisation)
# Optimal magnitudes:   [12°, 30°, 49°, 68°]
# Effective signed set: [-68°, -49°, -30°, -12°, +12°, +30°, +49°, +68°]
# Bend counts (signed): -68°×60  -49°×114  -30°×78  -12°×27  +12°×51  +30°×24  +49°×6  +68°×0
# Bend counts (per magnitude): 12°×78  30°×102  49°×120  68°×60
# Cable ends measured:  360
# Snap error:           mean |Δ|=4.77°  max |Δ|=9.43°  RMS=5.54°
#
# === Tab arm clearance ===
# Per joint-end, minimum 3D distance between any two arm segments (tab_pos -> pull_end_pos).
# Joint-ends measured: 92
# Pairs measured:      528
# Clearance:           min=15.0mm  mean=38.7mm  max=51.5mm
#
Index,Role,Length(m),Strain,AlphaX,AlphaY,AlphaZ,AlphaJoint,AlphaSlot,AlphaAngle,OmegaX,OmegaY,OmegaZ,OmegaJoint,OmegaSlot,OmegaAngle
1,push,1.791,-4.772e-3,0.613,0.144,9162.443,Z2,0,90,0.752,-0.088,10953.854,Z1,0,90
2,push,1.792,-4.254e-3,2473.292,733.435,5489.605,C51,0,90,2953.943,883.969,3769.488,C52,0,90
3,push,1.792,-4.234e-3,-1870.688,1775.398,5489.918,A51,0,90,-2241.768,2116.976,3769.962,A52,0,90
4,push,1.792,-4.219e-3,-601.232,-2507.675,5489.702,B51,0,90,-711.813,-2999.484,3769.639,B52,0,90
5,push,1.912,-9.676e-2,-1226.075,1102.329,6027.387,A43,0,90,-2749.494,1720.516,5050.893,A44,0,90
6,push,1.912,-9.675e-2,-340.505,-1613.040,6027.313,B43,0,90,-114.456,-3241.298,5050.451,B44,0,90
7,push,1.912,-9.675e-2,1568.329,511.583,6027.493,C43,0,90,2864.934,1521.920,5050.435,C44,0,90
8,push,1.918,-9.392e-2,-1371.198,-2390.542,6307.567,B45,0,90,-421.018,-1949.728,4700.591,B46,0,90
9,push,1.918,-9.391e-2,2757.215,7.771,6307.274,C45,0,90,1899.805,610.616,4700.711,C46,0,90
10,push,1.918,-9.391e-2,-1384.085,2383.775,6307.667,A45,0,90,-1477.769,1340.375,4700.750,A46,0,90
11,push,1.953,-7.731e-2,-2519.761,1512.693,6374.685,A41,0,90,-1668.900,2598.987,4992.038,A42,0,90
12,push,1.953,-7.729e-2,-49.129,-2938.780,6374.296,B41,0,90,-1415.497,-2744.516,4991.867,B42,0,90
13,push,1.953,-7.728e-2,2570.631,1426.972,6374.346,C41,0,90,3085.346,146.854,4991.500,C42,0,90
14,push,1.983,-6.352e-2,1771.901,1271.091,7088.005,C31,0,90,2170.859,124.488,5520.604,C32,0,90
15,push,1.983,-6.351e-2,215.555,-2169.201,7087.831,B31,0,90,-977.187,-1941.278,5520.641,B32,0,90
16,push,1.983,-6.351e-2,-1985.689,898.687,7087.959,A31,0,90,-1192.098,1817.870,5520.797,A32,0,90
17,push,1.989,-6.026e-2,584.332,-884.236,8472.681,B11,0,90,-862.809,-1086.236,7122.516,B12,0,90
18,push,1.989,-6.026e-2,-1057.197,-63.198,8472.717,A11,0,90,-508.564,1291.058,7122.543,A12,0,90
19,push,1.989,-6.026e-2,474.609,947.856,8472.753,C11,0,90,1373.179,-204.330,7122.554,C12,0,90
20,push,1.996,-5.703e-2,-688.473,-1187.976,6724.043,B35,0,90,-892.673,-3020.370,5958.599,B36,0,90
21,push,1.996,-5.702e-2,-683.889,1191.017,6724.081,A35,0,90,-2168.833,2284.069,5958.891,A36,0,90
22,push,1.996,-5.701e-2,1374.173,-2.433,6724.040,C35,0,90,3063.013,737.320,5958.521,C36,0,90
23,push,2.005,-5.314e-2,-469.457,1596.248,7977.257,A25,0,90,-1445.267,856.693,6390.107,A26,0,90
24,push,2.005,-5.314e-2,-1146.753,-1205.141,7977.167,B25,0,90,-18.247,-1680.112,6390.000,B26,0,90
25,push,2.005,-5.314e-2,1617.951,-390.803,7977.234,C25,0,90,1465.318,824.108,6390.122,C26,0,90
26,push,2.006,-5.224e-2,-1499.566,2270.821,7254.554,A33,0,90,-2129.052,1224.009,5662.778,A34,0,90
27,push,2.006,-5.223e-2,-1215.836,-2434.445,7254.354,B33,0,90,5.501,-2455.811,5662.577,B34,0,90
28,push,2.006,-5.223e-2,2717.358,164.081,7254.184,C33,0,90,2124.941,1232.798,5662.708,C34,0,90
29,push,2.025,-4.335e-2,-671.119,428.080,7434.641,A23,0,90,-2185.494,1751.625,7196.670,A24,0,90
30,push,2.025,-4.334e-2,-34.176,-795.490,7434.642,B23,0,90,-423.175,-2768.754,7196.568,B24,0,90
31,push,2.025,-4.334e-2,707.097,367.918,7434.672,C23,0,90,2610.504,1017.692,7196.627,C24,0,90
