# Open Claw, Phase: slack, Height: 10956.4mm, Created: 2026-05-13 15:35
#
# === Hinge parameters (see diagram) ===
# A  radius van de buis (push_radius):        20.0mm  (0.02000m)
# B  marge (push_radius_margin):              2.0mm  (0.00200m)
# C  offset door radius (= t1/2):             2.5mm  (0.00250m)
# D  randafstand (hinge_extension):           14.0mm  (0.01400m)
# E  diameter gat (hinge_hole_diameter):      12.0mm  (0.01200m)
# t1 dikte staal (disc_thickness):             5.0mm  (0.00500m)
# t2 dikte POM (disc_separator):              1.0mm  (0.00100m)
#    cap_thickness:                           5.0mm  (0.00500m)
#    pull_radius:                             7.0mm  (0.00700m)
#
# === Afgeleide waarden ===
#    A + B + C  = 24.5mm  (halve breedte schijf)
#    C + D + E  = 28.5mm  (scharnier lengte)
#    t1 + t2    = 6.0mm  (schijf + separator)
#    disc_center_offset(0) = 8.5mm  (as-afstand tot centrum eerste schijf)
#
# Orientation check (CSV coords, mm, Z-up): ground plane at Z=0, apex at Z=10956.4
# Lowest[1]: joint=BX4YZ1 X=-709.2 Y=-3009.3 Z=3777.1
# Lowest[2]: joint=CX4YZ1 X=2961.2 Y=891.1 Z=3777.2
# Lowest[3]: joint=AX4YZ1 X=-2251.7 Y=2119.8 Z=3777.5
# Highest:   joint=YZ1 X=0.8 Y=-0.2 Z=10956.4
# === Hinge bend snap quality ===
# Bend count (K):       4
# Magnitude source:     LOCKED to factory inventory (no per-export reoptimisation)
# Optimal magnitudes:   [12°, 30°, 49°, 68°]
# Effective signed set: [-68°, -49°, -30°, -12°, +12°, +30°, +49°, +68°]
# Bend counts (signed): -68°×60  -49°×114  -30°×78  -12°×27  +12°×45  +30°×30  +49°×6  +68°×0
# Bend counts (per magnitude): 12°×72  30°×108  49°×120  68°×60
# Cable ends measured:  360
# Snap error:           mean |Δ|=4.86°  max |Δ|=9.44°  RMS=5.63°
#
Index,Role,Length(m),Strain,AlphaX,AlphaY,AlphaZ,AlphaJoint,AlphaSlot,AlphaAngle,OmegaX,OmegaY,OmegaZ,OmegaJoint,OmegaSlot,OmegaAngle
1,push,1.790,-1.216e-4,2470.864,732.441,5491.210,CX4YZ0,0,90,2961.228,891.089,3777.240,CX4YZ1,0,90
2,push,1.790,-4.915e-5,-1868.649,1773.771,5491.384,AX4YZ0,0,90,-2251.673,2119.804,3777.518,AX4YZ1,0,90
3,push,1.790,-3.923e-5,-600.962,-2505.025,5491.125,BX4YZ0,0,90,-709.229,-3009.342,3777.126,BX4YZ1,0,90
4,push,1.790,0.000e0,0.597,0.063,9166.120,YZ0,0,90,0.801,-0.154,10956.383,YZ1,0,90
5,push,1.909,-2.970e-4,1567.940,509.297,6025.968,CX4Z2,0,90,2864.589,1521.524,5056.416,CX4Z3,0,90
6,push,1.909,-2.773e-4,-1223.927,1103.370,6025.879,AX4Z2,0,90,-2749.152,1720.506,5056.905,AX4Z3,0,90
7,push,1.910,-2.327e-4,-342.286,-1611.544,6025.814,BX4Z2,0,90,-114.576,-3240.950,5056.492,BX4Z3,0,90
8,push,1.919,-2.760e-4,-1380.486,2386.412,6304.622,AX4Z4,0,90,-1483.686,1338.011,4700.075,AX4Z5,0,90
9,push,1.920,-2.203e-4,-1375.156,-2388.833,6304.765,BX4Z4,0,90,-416.151,-1953.779,4699.831,BX4Z5,0,90
10,push,1.920,-2.059e-4,2757.714,3.273,6304.225,CX4Z4,0,90,1900.626,616.810,4699.900,CX4Z5,0,90
11,push,1.950,0.000e0,2565.133,1421.965,6375.867,CX4Z0,0,90,3084.953,145.903,4995.561,CX4Z1,0,90
12,push,1.951,0.000e0,-50.710,-2931.527,6375.817,BX4Z0,0,90,-1416.334,-2743.892,4995.814,BX4Z1,0,90
13,push,1.951,0.000e0,-2512.702,1510.311,6376.195,AX4Z0,0,90,-1667.911,2599.326,4995.969,AX4Z1,0,90
14,push,1.982,-4.101e-5,-1979.600,898.665,7089.953,AX3Z0,0,90,-1192.740,1816.446,5518.752,AX3Z1,0,90
15,push,1.982,-2.658e-5,212.592,-2163.930,7089.780,BX3Z0,0,90,-975.758,-1941.175,5518.647,BX3Z1,0,90
16,push,1.983,-9.500e-6,1768.795,1265.797,7089.962,CX3Z0,0,90,2170.120,125.724,5518.479,CX3Z1,0,90
17,push,1.990,0.000e0,473.674,957.633,8468.170,CX1Z0,0,90,1362.155,-208.917,7122.749,CX1Z1,0,90
18,push,1.990,0.000e0,-1065.280,-69.013,8468.208,AX1Z0,0,90,-498.996,1283.880,7123.025,AX1Z1,0,90
19,push,1.990,0.000e0,593.416,-888.336,8468.146,BX1Z0,0,90,-861.426,-1074.537,7122.979,BX1Z1,0,90
20,push,1.999,-3.338e-4,1372.767,-11.488,6721.685,CX3Z4,0,90,3064.428,735.731,5961.898,CX3Z5,0,90
21,push,2.000,-2.190e-4,-695.639,-1182.046,6721.759,BX3Z4,0,90,-894.762,-3020.792,5961.753,BX3Z5,0,90
22,push,2.000,-2.120e-4,-675.058,1194.247,6721.859,AX3Z4,0,90,-2168.117,2286.061,5962.241,AX3Z5,0,90
23,push,2.000,-2.652e-5,-469.126,1596.295,7977.057,AX2Z4,0,90,-1439.715,861.303,6390.384,AX2Z5,0,90
24,push,2.000,-1.377e-5,1617.997,-390.998,7976.840,CX2Z4,0,90,1466.220,817.202,6390.301,CX2Z5,0,90
25,push,2.000,0.000e0,-1146.995,-1204.812,7976.913,BX2Z4,0,90,-24.830,-1677.507,6390.282,BX2Z5,0,90
26,push,2.010,-1.508e-4,-1500.102,2268.904,7256.204,AX3Z2,0,90,-2128.493,1217.356,5663.015,AX3Z3,0,90
27,push,2.010,-7.449e-5,-1214.020,-2433.925,7256.109,BX3Z2,0,90,10.943,-2451.981,5662.799,BX3Z3,0,90
28,push,2.010,-4.816e-5,2715.851,165.387,7256.058,CX3Z2,0,90,2118.836,1235.604,5662.973,CX3Z3,0,90
29,push,2.030,0.000e0,701.581,370.739,7434.181,CX2Z2,0,90,2610.162,1018.869,7190.867,CX2Z3,0,90
30,push,2.030,0.000e0,-670.437,421.697,7434.213,AX2Z2,0,90,-2186.150,1750.524,7190.905,AX2Z3,0,90
31,push,2.031,0.000e0,-28.964,-791.811,7434.138,BX2Z2,0,90,-422.017,-2769.023,7190.796,BX2Z3,0,90
32,push,2.031,0.000e0,228.027,403.463,7714.178,AX1Z4,0,90,-1316.811,1620.491,8219.872,AX1Z5,0,90
33,push,2.031,0.000e0,-462.318,-4.536,7714.058,BX1Z4,0,90,-743.954,-1950.918,8219.906,BX1Z5,0,90
34,push,2.031,0.000e0,236.091,-398.418,7714.062,CX1Z4,0,90,2062.583,331.022,8220.256,CX1Z5,0,90
35,push,2.041,0.000e0,-1737.187,874.826,8157.685,AX2Z0,0,90,-864.564,2037.840,6725.693,AX2Z1,0,90
36,push,2.041,0.000e0,111.981,-1942.021,8157.801,BX2Z0,0,90,-1331.419,-1767.971,6725.453,BX2Z1,0,90
37,push,2.041,0.000e0,1626.935,1067.835,8157.680,CX2Z0,0,90,2198.174,-269.854,6725.609,CX2Z1,0,90
38,push,2.050,0.000e0,-691.457,-812.124,8997.030,BX1Z2,0,90,254.518,-1626.953,7370.564,BX1Z3,0,90
39,push,2.051,0.000e0,1050.060,-192.954,8997.185,CX1Z2,0,90,1282.856,1033.816,7370.590,CX1Z3,0,90
40,push,2.051,0.000e0,-356.939,1005.666,8997.108,AX1Z2,0,90,-1535.798,593.771,7370.381,AX1Z3,0,90
41,push,2.350,-2.026e-4,202.675,-658.748,7636.234,Z4,0,90,-1150.881,623.725,9065.714,Z5,0,90
42,push,2.350,-1.777e-4,470.229,504.702,7636.199,Z8,0,90,36.323,-1308.734,9065.782,Z9,0,90
43,push,2.350,-1.759e-4,-671.117,154.569,7636.292,Z0,0,90,1116.271,685.491,9065.948,Z1,0,90
44,push,2.400,-1.818e-5,872.791,-678.682,8268.061,Z6,0,90,-225.276,849.203,9757.895,Z7,0,90
45,push,2.400,-4.272e-6,-1023.568,-415.873,8268.227,Z2,0,90,848.934,-229.060,9757.787,Z3,0,90
46,push,2.400,0.000e0,152.363,1095.029,8268.144,Z10,0,90,-621.831,-620.127,9757.731,Z11,0,90
47,pull,0.191,0.000e0,232.035,-627.742,7628.015,Z4,4,-49,235.675,-450.613,7699.502,CX1Z4,1,+30
48,pull,0.191,0.000e0,-658.936,113.645,7628.058,Z0,4,-49,-507.311,21.929,7699.511,BX1Z4,1,+30
49,pull,0.191,0.000e0,428.697,514.639,7627.996,Z8,4,-49,273.430,429.197,7699.591,AX1Z4,1,+30
50,pull,0.228,0.000e0,-674.468,196.049,7601.369,Z0,1,+12,-680.599,381.796,7469.442,AX2Z2,1,+30
51,pull,0.228,0.000e0,168.429,-682.398,7601.315,Z4,1,+12,10.666,-780.662,7469.374,BX2Z2,1,+30
52,pull,0.228,0.000e0,507.868,486.882,7601.309,Z8,1,+12,672.107,399.494,7469.406,CX2Z2,1,+30
53,pull,0.306,0.000e0,849.613,-722.935,8276.627,Z6,4,-30,632.586,-860.126,8443.217,BX1Z0,1,+12
54,pull,0.306,0.000e0,-1050.286,-373.661,8276.782,Z2,4,-30,-1060.451,-117.041,8443.279,AX1Z0,1,+12
55,pull,0.306,0.000e0,202.280,1097.063,8276.693,Z10,4,-30,429.668,977.474,8443.245,CX1Z0,1,+12
56,pull,0.339,9.245e-4,1365.139,-187.935,7072.876,CX1Z1,1,+30,1377.879,-34.155,6770.638,CX3Z4,1,+30
57,pull,0.339,1.127e-3,-518.629,1275.965,7073.142,AX1Z1,1,+30,-657.987,1209.991,6770.819,AX3Z4,1,+30
58,pull,0.339,1.229e-3,-844.753,-1087.563,7073.091,BX1Z1,1,+30,-717.818,-1175.139,6770.716,BX3Z4,1,+30
59,pull,0.379,0.000e0,1477.055,785.899,6347.240,CX2Z5,1,+12,1553.769,540.567,6068.072,CX4Z2,1,+12
60,pull,0.380,0.000e0,-57.355,-1671.225,6347.223,BX2Z5,1,+12,-308.129,-1614.917,6067.926,BX4Z2,1,+12
61,pull,0.380,0.000e0,-1418.019,886.344,6347.330,AX2Z5,1,+12,-1243.912,1075.466,6067.991,AX4Z2,1,+12
62,pull,0.501,0.000e0,-1573.040,625.727,7351.446,AX1Z3,1,+49,-1938.333,872.196,7113.359,AX3Z0,1,+12
63,pull,0.501,0.000e0,1329.152,1050.085,7351.654,CX1Z3,1,+49,1725.247,1243.281,7113.374,CX3Z0,1,+12
64,pull,0.501,0.000e0,245.466,-1675.183,7351.630,BX1Z3,1,+49,214.861,-2114.966,7113.208,BX3Z0,1,+12
65,pull,0.643,1.041e-3,-1337.002,-1811.303,6693.396,BX2Z1,1,+30,-1372.404,-2344.285,6335.739,BX4Z4,1,+12
66,pull,0.643,1.127e-3,-899.294,2064.342,6693.633,AX2Z1,1,+30,-1343.295,2361.746,6335.603,AX4Z4,1,+12
67,pull,0.643,1.010e-3,2238.461,-253.011,6693.521,CX2Z1,1,+30,2717.775,-16.638,6335.207,CX4Z4,1,+12
68,pull,0.694,2.959e-4,879.388,-224.931,9719.389,Z3,2,-30,1034.349,-177.019,9044.785,CX1Z2,1,+49
69,pull,0.694,2.440e-4,-633.505,-648.556,9719.334,Z11,2,-30,-669.806,-806.496,9044.635,BX1Z2,1,+49
70,pull,0.697,1.856e-4,-246.811,877.350,9723.226,Z7,3,-30,-362.877,984.086,9044.707,AX1Z2,1,+49
71,pull,0.741,0.000e0,113.606,1127.654,8248.910,Z10,1,+30,-429.380,1564.731,7996.041,AX2Z4,1,+30
72,pull,0.742,0.000e0,-1032.444,-465.746,8248.983,Z2,1,+30,-1139.535,-1154.615,7995.912,BX2Z4,1,+30
73,pull,0.742,0.000e0,920.424,-661.431,8248.828,Z6,1,+30,1570.796,-409.642,7995.836,CX2Z4,1,+30
74,pull,0.771,1.014e-3,76.484,-1945.197,8183.199,BX2Z0,2,-49,-693.394,-1967.052,8220.398,BX1Z5,2,-12
75,pull,0.771,1.036e-3,1647.428,1038.688,8183.089,CX2Z0,2,-49,2051.278,382.877,8220.724,CX1Z5,2,-12
76,pull,0.771,1.024e-3,-1722.187,907.150,8183.088,AX2Z0,2,-49,-1356.063,1584.771,8220.356,AX1Z5,2,-12
77,pull,0.785,0.000e0,-1449.929,2272.086,7249.767,AX3Z2,4,-30,-891.571,2078.677,6733.495,AX2Z1,3,-30
78,pull,0.785,0.000e0,2693.540,120.336,7249.609,CX3Z2,4,-30,2247.044,-266.867,6733.404,CX2Z1,3,-30
79,pull,0.785,0.000e0,-1241.863,-2392.064,7249.681,BX3Z2,4,-30,-1353.287,-1811.774,6733.261,BX2Z1,3,-30
80,pull,0.786,6.199e-4,1592.285,1091.164,8130.976,CX2Z0,3,-30,1309.273,1054.420,7398.747,CX1Z3,2,-49
81,pull,0.786,7.745e-4,149.516,-1923.672,8131.110,BX2Z0,3,-30,259.158,-1660.131,7398.721,BX1Z3,2,-49
82,pull,0.786,8.177e-4,-1740.078,833.153,8130.984,AX2Z0,3,-30,-1566.851,606.347,7398.537,AX1Z3,2,-49
83,pull,0.798,0.000e0,-2506.391,1462.752,6359.846,AX4Z0,4,-30,-2168.015,1216.474,5680.458,AX3Z3,3,-49
84,pull,0.798,0.000e0,2520.779,1440.274,6359.546,CX4Z0,4,-30,2137.855,1270.266,5680.404,CX3Z3,3,-49
85,pull,0.798,0.000e0,-12.681,-2902.276,6359.475,BX4Z0,4,-30,31.461,-2485.778,5680.229,BX3Z3,3,-49
86,pull,0.775,1.581e-4,-1535.475,2250.046,7273.762,AX3Z2,2,-49,-2158.316,1795.682,7192.588,AX2Z3,2,-12
87,pull,0.775,2.881e-4,-1180.005,-2455.140,7273.660,BX3Z2,2,-49,-475.042,-2767.495,7192.479,BX2Z3,2,-12
88,pull,0.775,3.118e-4,2717.225,205.450,7273.613,CX3Z2,2,-49,2635.350,972.183,7192.542,CX2Z3,2,-12
89,pull,0.800,0.000e0,-735.153,-1179.785,6739.773,BX3Z4,4,-49,-1317.353,-1727.237,6698.773,BX2Z1,4,-30
90,pull,0.800,0.000e0,-653.341,1227.336,6739.871,AX3Z4,4,-49,-836.320,2005.293,6699.012,AX2Z1,4,-30
91,pull,0.803,1.604e-4,-1428.500,2400.022,6313.471,AX4Z4,4,-30,-2149.077,2324.816,5967.383,AX3Z5,4,-49
92,pull,0.796,2.468e-4,2790.822,39.975,6308.052,CX4Z4,3,-30,3083.397,697.622,5969.309,CX3Z5,3,-49
93,pull,0.796,2.412e-4,-1359.954,-2435.868,6308.574,BX4Z4,3,-30,-937.243,-3018.176,5969.208,BX3Z5,3,-49
94,pull,0.800,0.000e0,1390.570,-46.845,6739.681,CX3Z4,4,-49,2155.876,-278.020,6698.905,CX2Z1,4,-30
95,pull,0.823,0.000e0,-1187.610,1136.699,6014.081,AX4Z2,4,-30,-1172.542,1788.363,5512.368,AX3Z1,4,-68
96,pull,0.823,0.000e0,-389.311,-1596.751,6014.035,BX4Z2,4,-30,-961.531,-1909.644,5512.261,BX3Z1,4,-68
97,pull,0.823,0.000e0,1578.647,461.180,6014.177,CX4Z2,4,-30,2135.700,122.270,5512.099,CX3Z1,4,-68
98,pull,0.816,1.577e-4,-504.736,1610.050,8018.401,AX2Z4,4,-12,-1295.185,1657.989,8215.731,AX1Z5,4,-49
99,pull,0.816,2.247e-4,-1141.094,-1242.528,8018.257,BX2Z4,4,-12,-787.240,-1950.941,8215.754,BX1Z5,4,-49
100,pull,0.816,2.451e-4,1647.703,-367.027,8018.188,CX2Z4,4,-12,2084.253,293.554,8216.079,CX1Z5,4,-49
101,pull,0.816,0.000e0,-2006.152,934.939,7123.804,AX3Z0,4,-12,-2215.244,1722.135,7175.459,AX2Z3,4,-49
102,pull,0.816,0.000e0,1813.490,1270.658,7123.806,CX3Z0,4,-12,2600.125,1058.260,7175.420,CX2Z3,4,-49
103,pull,0.816,0.000e0,194.457,-2205.067,7123.625,BX3Z0,4,-12,-382.887,-2780.025,7175.344,BX2Z3,4,-49
104,pull,0.805,0.000e0,1049.456,-161.076,9036.585,CX1Z2,4,-30,1130.158,638.999,9076.125,Z1,3,-30
105,pull,0.805,0.000e0,-384.245,989.204,9036.509,AX1Z2,4,-30,-1117.560,658.995,9075.895,Z5,3,-30
106,pull,0.805,0.000e0,-663.547,-827.541,9036.430,BX1Z2,4,-30,-10.884,-1297.516,9075.958,Z9,3,-30
107,pull,0.835,0.000e0,690.479,404.041,7436.433,CX2Z2,4,-68,1248.517,1016.818,7337.413,CX1Z3,4,-30
108,pull,0.835,0.000e0,5.427,-798.848,7436.394,BX2Z2,4,-68,256.976,-1588.710,7337.392,BX1Z3,4,-30
109,pull,0.812,9.217e-4,-1956.647,875.136,7072.658,AX3Z0,2,-68,-1483.581,854.538,6412.473,AX2Z5,3,-30
110,pull,0.812,9.170e-4,221.495,-2132.288,7072.485,BX3Z0,2,-68,2.956,-1712.120,6412.368,BX2Z5,3,-30
111,pull,0.812,9.485e-4,1736.942,1257.693,7072.663,CX3Z0,2,-68,1482.304,858.571,6412.387,CX2Z5,3,-30
112,pull,0.835,0.000e0,-693.725,395.428,7436.450,AX2Z2,4,-68,-1503.909,572.519,7337.209,AX1Z3,4,-30
113,pull,0.808,0.000e0,242.876,-431.394,7741.146,CX1Z4,3,-49,845.003,-676.052,8221.405,Z6,3,-12
114,pull,0.808,0.000e0,253.187,425.827,7741.268,AX1Z4,3,-49,163.985,1069.656,8221.485,Z10,3,-12
115,pull,0.808,0.000e0,-494.265,6.075,7741.148,BX1Z4,3,-49,-1007.402,-393.124,8221.569,Z2,3,-12
116,pull,0.814,6.124e-5,-723.394,-777.846,8972.093,BX1Z2,2,-12,-1032.939,-448.843,8295.435,Z2,2,-49
117,pull,0.814,2.690e-4,-311.283,1016.177,8972.171,AX1Z2,2,-12,128.495,1119.627,8295.354,Z10,2,-49
118,pull,0.814,3.843e-4,1036.333,-237.748,8972.246,CX1Z2,2,-12,906.029,-670.316,8295.271,Z6,2,-49
119,pull,0.839,1.433e-3,1349.670,30.993,6712.695,CX3Z4,2,-30,1455.224,790.165,6370.668,CX2Z5,4,-68
120,pull,0.839,1.467e-3,-647.302,-1183.292,6712.767,BX3Z4,2,-30,-42.737,-1654.454,6370.654,BX2Z5,4,-68
121,pull,0.839,1.507e-3,-700.304,1153.008,6712.866,AX3Z4,2,-30,-1410.795,865.277,6370.758,AX2Z5,4,-68
122,pull,0.838,1.535e-3,-1154.292,-1180.770,7949.557,BX2Z4,2,-68,-893.685,-1084.172,7158.831,BX1Z1,2,-30
123,pull,0.838,1.608e-3,-444.656,1590.583,7949.704,AX2Z4,2,-68,-491.213,1316.637,7158.876,AX1Z1,2,-30
124,pull,0.838,1.759e-3,1600.818,-409.335,7949.487,CX2Z4,2,-68,1386.644,-232.033,7158.594,CX1Z1,2,-30
125,pull,0.802,0.000e0,-2208.030,1738.761,7142.589,AX2Z3,1,+12,-2491.084,1527.155,6423.104,AX4Z0,1,+12
126,pull,0.802,0.000e0,-400.898,-2782.089,7142.477,BX2Z3,1,+12,-76.101,-2921.240,6422.731,BX4Z0,1,+12
127,pull,0.802,0.000e0,2610.914,1043.704,7142.554,CX2Z3,1,+12,2568.925,1394.820,6422.774,CX4Z0,1,+12
128,pull,0.834,2.682e-4,-1075.005,-41.045,8513.805,AX1Z0,3,-12,-1168.398,594.305,9046.061,Z5,1,-68
129,pull,0.834,2.822e-4,574.057,-910.734,8513.744,BX1Z0,3,-12,70.555,-1309.201,9046.122,Z9,1,-68
130,pull,0.834,3.168e-4,502.758,952.062,8513.766,CX1Z0,3,-12,1099.565,715.370,9046.281,Z1,1,-68
131,pull,0.876,4.691e-4,714.550,325.923,7418.617,CX2Z2,2,-30,1336.877,-201.437,7099.458,CX1Z1,4,-68
132,pull,0.876,5.917e-4,-638.109,455.343,7418.665,AX2Z2,2,-30,-492.806,1258.250,7099.742,AX1Z1,4,-68
133,pull,0.876,6.651e-4,-74.268,-780.635,7418.593,BX2Z2,2,-30,-842.326,-1056.361,7099.694,BX1Z1,4,-68
134,pull,0.879,0.000e0,-414.265,-2.875,7698.027,BX1Z4,4,-30,184.573,-639.918,7611.938,Z4,3,-68
135,pull,0.879,0.000e0,205.442,361.015,7698.147,AX1Z4,4,-30,-645.760,160.837,7611.998,Z0,3,-68
136,pull,0.879,0.000e0,210.629,-357.635,7698.021,CX1Z4,4,-30,462.971,479.610,7611.904,Z8,3,-68
137,pull,0.874,3.527e-4,2594.690,1402.890,6387.785,CX4Z0,2,-68,3052.125,780.566,5977.940,CX3Z5,2,-30
138,pull,0.875,4.603e-4,-82.002,-2947.592,6387.745,BX4Z0,2,-68,-849.784,-3032.565,5977.794,BX3Z5,2,-30
139,pull,0.875,4.645e-4,-2510.959,1545.441,6388.128,AX4Z0,2,-68,-2200.796,2252.989,5978.279,AX3Z5,2,-30
140,pull,0.870,8.970e-4,450.703,953.037,8439.348,CX1Z0,2,-68,473.620,543.459,7672.299,Z8,2,-12
141,pull,0.870,9.507e-4,-1049.808,-86.605,8439.387,AX1Z0,2,-68,-706.379,138.125,7672.391,Z0,2,-12
142,pull,0.870,9.699e-4,600.910,-866.137,8439.324,BX1Z0,2,-68,234.544,-681.061,7672.335,Z4,2,-12
143,pull,0.931,0.000e0,1560.250,541.948,6038.103,CX4Z2,3,-68,2073.949,1215.456,5650.804,CX3Z3,4,-30
144,pull,0.931,0.000e0,-310.161,-1621.210,6037.939,BX4Z2,3,-68,15.943,-2403.033,5650.635,BX3Z3,4,-30
145,pull,0.931,0.000e0,-1248.351,1080.369,6037.999,AX4Z2,3,-68,-2088.600,1188.564,5650.831,AX3Z3,4,-30
146,pull,0.929,0.000e0,-587.109,-2459.923,5477.241,BX4YZ0,2,-30,-395.690,-1982.040,4704.306,BX4Z5,4,-68
147,pull,0.929,0.000e0,-1836.517,1739.225,5477.489,AX4YZ0,2,-30,-1518.389,1334.419,4704.564,AX4Z5,4,-68
148,pull,0.925,0.000e0,2426.520,722.412,5471.591,CX4YZ0,1,-30,1914.861,648.663,4704.387,CX4Z5,4,-68
149,pull,0.927,0.000e0,2485.294,778.653,5499.877,CX4YZ0,2,-30,2881.052,1489.886,5057.071,CX4Z3,3,-68
150,pull,0.930,0.000e0,2497.450,691.903,5501.591,CX4YZ0,3,-30,3050.424,149.678,4987.438,CX4Z1,3,-68
151,pull,0.931,0.000e0,-1914.601,1762.010,5505.806,AX4YZ0,3,-30,-2729.976,1750.578,5057.550,AX4Z3,3,-68
152,pull,0.931,0.000e0,-567.802,-2538.946,5505.538,BX4YZ0,3,-30,-150.207,-3239.371,5057.139,BX4Z3,3,-68
153,pull,0.917,1.379e-4,-650.083,-2511.173,5490.032,BX4YZ0,1,-30,-1391.602,-2716.455,4991.926,BX4Z1,2,-68
154,pull,0.917,1.935e-4,-1849.408,1819.384,5490.288,AX4YZ0,1,-30,-1656.516,2564.190,4992.073,AX4Z1,2,-68
155,pull,0.937,6.973e-4,2734.714,-23.249,6306.459,CX4Z4,4,-68,2207.546,105.008,5542.750,CX3Z1,2,-30
