Overzicht kosten mockup,,,,,,,,,
,,,,,,,,,
Onderdeel,,,Specificatie,Stuks,,Prijs per eenheid,Totaal materiaal,Totaal arbeid,
,,,,,,,,,
Mockup,,,,,,,"€ 3.494,93","€ 1.157,00",Ex. BTW
,,,,,,,,,
,Buiten buis,,,9,,,"€ 280,64",,
,,Buis,Aluminium 60x4,,1,"€ 31,18","€ 31,18",,
,Binnen buis,,,18,,,"€ 419,47",,
,,Buis,Aluminium 50x4,,1,"€ 21,68","€ 21,68",,
,,Borgpen,,,2,"€ 0,81","€ 1,62",,
,Kop,,,18,,,"€ 1.029,04","€ 117,00",
,,Buis,60x4 / S235,,1,"€ 8,45","€ 8,45",,
,,Ring M20 getapt,10mm / S235,,1,"€ 6,07","€ 6,07",,
,,Ring 30 graden,10mm / S235,,1,"€ 6,15","€ 6,15",,
,,Ring 60 graden,10mm / S235,,1,"€ 5,98","€ 5,98",,
,,POM ring,3 mm / POM,,5,"€ 1,17","€ 5,85",,
,,Carosseriering,M20,,1,"€ 0,43","€ 0,43",,
,,Borgmoer,M20,,1,"€ 0,64","€ 0,64",,
,,Bout,M20x100,,1,"€ 3,07","€ 3,07",,
,,Laswerk,,,"0,17","€ 65,00","€ 11,05",,
,,Coating,Alu zink spray,,1,"€ 1,67","€ 1,67",,
,,Coaten,,,"0,12","€ 65,00","€ 7,80",,
,,Assemblage,,,"0,1","€ 65,00",,"€ 6,50",
,Kabels,,,36,,,"€ 578,94","€ 1.040,00",
,,Dynema,14mm,,"1,02","€ 10,57","€ 10,78",,
,,Quicklink,12B,,2,"€ 2,65","€ 5,30",,
,,Assemblage,,,"0,44","€ 65,00",,"€ 28,89",
,Spanknijper,,,1,,,"€ 866,84",,
,,Bodem,S235,,2,"€ 19,36","€ 38,71",,
,,Middenplaat,S235,,2,"€ 23,09","€ 46,17",,
,,Topplaat,S236,,2,"€ 19,83","€ 39,67",,
,,Strip,S235,,2,"€ 31,55","€ 63,10",,
,,Slotbout + moer,Verzinkt,,3,"€ 1,10","€ 3,30",,
,,3D geprint ring,,,2,"€ 10,00","€ 20,00",,
,,Potkrik,2 ton,,2,"€ 27,94","€ 55,88",,
,,Laswerk,,,8,"€ 75,00","€ 600,00",,
,Overig,,,,,,"€ 320,00",,
,,Verzendkosten,,,,,"€ 120,00",,
,,Opstelling t.b.v. kabels,,,,,"€ 200,00",,
