Overzicht gewicht en kosten mockup,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Onderdeel,,,Aantal,Specificatie,Volume,,Gewicht per volume,,Gewicht sub-onderdeel [kg],Gewicht onderdeel [kg],Gewicht totaal [kg],Controle [kg],Prijs per sub-onderdeel,Prijs totaal materiaal,Prijs totaal arbeid,
,,,,,,,,,,,,,,,,
Mockup,,,,,,,,,,,"104,7",,,"€ 3.713,29","€ 1.157,00",Ex. BTW
,,,,,,,,,,,,,,,,
,Buiten buis,,9,,,,,,,"2,07","18,6",,,"€ 280,64",,
,,Buis,1,Aluminium 60x4,764920,mm3,2700,kg/m3,"2,07","2,07",,"2,03","€ 31,18","€ 31,18",,
,Binnen buis,,18,,,,,,,"1,12","20,1",,,"€ 419,47",,
,,Buis,1,Aluminium 50x4,378524,mm3,2700,kg/m3,"1,02","1,02",,"1,05","€ 21,68","€ 21,68",,
,,Borgpen,2,,6048,mm3,7850,kg/m3,"0,05","0,09",,"0,06","€ 0,81","€ 1,62",,
,Kop,,18,,,,,,,"2,28","41,1","2,27",,"€ 1.247,40","€ 117,00",
,,Buis,1,60x4 / S235,35185,mm3,7850,kg/m3,"0,28","0,28",,"0,27","€ 8,45","€ 8,45",,
,,Ring M20 getapt,1,10mm / S235,25132,mm3,7850,kg/m3,"0,20","0,20",,"0,19","€ 6,07","€ 6,07",,
,,Ring 30 graden,2,10mm / S235,43856,mm3,7850,kg/m3,"0,34","0,69",,,"€ 6,15","€ 12,29",,
,,Ring 60 graden,2,10mm / S235,43349,mm3,7850,kg/m3,"0,34","0,68",,,"€ 5,98","€ 11,97",,
,,POM ring,5,3 mm / POM,7341,mm3,1420,kg/m3,"0,01","0,05",,,"€ 1,17","€ 5,85",,
,,Carosseriering,1,M20,4894,mm3,7850,kg/m3,"0,04","0,04",,"0,06","€ 0,43","€ 0,43",,
,,Borgmoer,1,M20,"7789,2",mm3,7850,kg/m3,"0,06","0,06",,"0,07","€ 0,64","€ 0,64",,
,,Bout,1,M20x100,"36831,6",mm3,7850,kg/m3,"0,29","0,29",,"0,28","€ 3,07","€ 3,07",,
,,Laswerk,"0,17",,,,,,,"0,00",,,"€ 65,00","€ 11,05",,
,,Coating,1,Alu zink spray,,,,,,"0,00",,,"€ 1,67","€ 1,67",,
,,Coaten,"0,12",,,,,,,"0,00",,,"€ 65,00","€ 7,80",,
,,Assemblage,"0,1",,,,,,,"0,00",,,"€ 65,00",,"€ 6,50",
,Kabels,,36,,,,,,,"0,69","24,9",,,"€ 578,94","€ 1.040,00",
,,Dynema,"1,02",14mm,1,m,11,kg/100m,"0,11","0,11",,,"€ 10,57","€ 10,78",,
,,Quicklink,2,12B,36915,mm3,7850,kg/m3,"0,29","0,58",,"0,30","€ 2,65","€ 5,30",,
,,Assemblage,"0,44",,,,,,,,,,"€ 65,00",,"€ 28,89",
,Spanknijper,,1,,,,,,,,,,,"€ 866,84",€ -,
,,Bodem,2,S235,,,,,,,,,"€ 19,36","€ 38,71",,
,,Middenplaat,2,S235,,,,,,,,,"€ 23,09","€ 46,17",,
,,Topplaat,2,S236,,,,,,,,,"€ 19,83","€ 39,67",,
,,Strip,2,S235,,,,,,,,,"€ 31,55","€ 63,10",,
,,Slotbout + moer,3,Verzinkt,,,,,,,,,"€ 1,10","€ 3,30",,
,,3D geprint ring,2,,,,,,,,,,"€ 10,00","€ 20,00",,
,,Potkrik,2,2 ton,,,,,,,,,"€ 27,94","€ 55,88",,
,,Laswerk,8,,,,,,,,,,"€ 75,00","€ 600,00",,
,Overig,,,,,,,,,,,,,"€ 320,00",,
,,Verzendkosten,,,,,,,,,,,,"€ 120,00",,
,,Opstelling t.b.v. kabels,,,,,,,,,,,,"€ 200,00",,
