# Open Claw, Phase: slack, Height: 10956.2mm, Created: 2026-05-14 17:05
#
# === Hinge parameters (see diagram) ===
# A  radius van de buis (push_radius):        20.0mm  (0.02000m)
# B  marge (push_radius_margin):              1.0mm  (0.00100m)
# C  offset door radius (= t1/2):             2.5mm  (0.00250m)
# D  randafstand (hinge_extension):           30.0mm  (0.03000m)
# E  diameter gat (hinge_hole_diameter):      14.0mm  (0.01400m)
# t1 dikte staal (disc_thickness):             5.0mm  (0.00500m)
# t2 dikte POM (disc_separator):              2.0mm  (0.00200m)
#    cap_thickness:                           5.0mm  (0.00500m)
#    pull_radius:                             7.0mm  (0.00700m)
#
# === Afgeleide waarden ===
#    A + B + C  = 23.5mm  (halve breedte schijf)
#    C + D + E  = 46.5mm  (scharnier lengte)
#    t1 + t2    = 7.0mm  (schijf + separator)
#    disc_center_offset(0) = 9.5mm  (as-afstand tot centrum eerste schijf)
#
# Orientation check (CSV coords, mm, Z-up): ground plane at Z=0, apex at Z=10956.2
# Lowest[1]: joint=CX4YZ1 X=2961.5 Y=891.4 Z=3777.5
# Lowest[2]: joint=BX4YZ1 X=-709.2 Y=-3009.9 Z=3777.6
# Lowest[3]: joint=AX4YZ1 X=-2252.1 Y=2120.0 Z=3777.9
# Highest:   joint=YZ1 X=0.7 Y=0.1 Z=10956.2
# === Hinge bend snap quality ===
# Bend count (K):       4
# Magnitude source:     LOCKED to factory inventory (no per-export reoptimisation)
# Optimal magnitudes:   [12°, 30°, 49°, 68°]
# Effective signed set: [-68°, -49°, -30°, -12°, +12°, +30°, +49°, +68°]
# Bend counts (signed): -68°×60  -49°×114  -30°×76  -12°×29  +12°×51  +30°×24  +49°×6  +68°×0
# Bend counts (per magnitude): 12°×80  30°×100  49°×120  68°×60
# Cable ends measured:  360
# Snap error:           mean |Δ|=4.79°  max |Δ|=9.40°  RMS=5.54°
#
# === Hinge arm clearance ===
# Per joint-end, minimum 3D distance between any two arm segments (hinge_pos -> pull_end_pos).
# Joint-ends measured: 92
# Pairs measured:      528
# Clearance:           min=14.7mm  mean=38.8mm  max=51.5mm
#
Index,Role,Length(m),Strain,AlphaX,AlphaY,AlphaZ,AlphaJoint,AlphaSlot,AlphaAngle,OmegaX,OmegaY,OmegaZ,OmegaJoint,OmegaSlot,OmegaAngle
1,push,1.790,0.000e0,0.379,0.461,9165.798,YZ0,0,90,0.730,0.104,10956.175,YZ1,0,90
2,push,1.791,0.000e0,-603.749,-2505.974,5492.529,BX4YZ0,0,90,-709.242,-3009.854,3777.625,BX4YZ1,0,90
3,push,1.791,0.000e0,2472.776,730.612,5492.534,CX4YZ0,0,90,2961.547,891.413,3777.547,CX4YZ1,0,90
4,push,1.791,0.000e0,-1868.087,1776.573,5492.736,AX4YZ0,0,90,-2252.102,2119.958,3777.922,AX4YZ1,0,90
5,push,1.910,-1.958e-4,1565.330,510.230,6026.346,CX4Z2,0,90,2863.052,1520.915,5056.242,CX4Z3,0,90
6,push,1.910,-1.902e-4,-340.193,-1609.805,6026.182,BX4Z2,0,90,-114.420,-3239.233,5056.283,BX4Z3,0,90
7,push,1.910,-1.666e-4,-1223.452,1100.437,6026.271,AX4Z2,0,90,-2747.769,1719.519,5056.695,AX4Z3,0,90
8,push,1.919,-7.237e-4,-1372.959,-2389.247,6305.876,BX4Z4,0,90,-416.286,-1953.164,4700.985,BX4Z5,0,90
9,push,1.919,-7.020e-4,2757.063,5.464,6305.521,CX4Z4,0,90,1900.264,616.481,4701.221,CX4Z5,0,90
10,push,1.919,-6.358e-4,-1381.964,2384.802,6305.992,AX4Z4,0,90,-1483.265,1337.872,4701.190,AX4Z5,0,90
11,push,1.949,-3.378e-4,-50.775,-2932.735,6375.635,BX4Z0,0,90,-1414.233,-2742.416,4995.529,BX4Z1,0,90
12,push,1.949,-3.287e-4,2566.358,1422.467,6375.780,CX4Z0,0,90,3082.937,146.850,4995.219,CX4Z1,0,90
13,push,1.949,-3.162e-4,-2513.698,1510.996,6376.010,AX4Z0,0,90,-1667.697,2596.903,4995.727,AX4Z1,0,90
14,push,1.979,-4.219e-4,209.141,-2161.031,7088.655,BX3Z0,0,90,-976.541,-1938.708,5519.635,BX3Z1,0,90
15,push,1.979,-4.132e-4,-1975.357,900.275,7088.827,AX3Z0,0,90,-1190.064,1816.035,5519.796,AX3Z1,0,90
16,push,1.979,-4.065e-4,1768.036,1261.451,7088.771,CX3Z0,0,90,2168.341,123.597,5519.612,CX3Z1,0,90
17,push,1.991,0.000e0,474.155,960.318,8466.251,CX1Z0,0,90,1364.485,-209.161,7123.587,CX1Z1,0,90
