Joints;Role;Length;Strain
="3,10";Pulling;1068.52;0.0078682480
="4,12";Pulling;1057.40;0.0075459410
="1,2";Pushing;1533.72;-0.0001461573
="4,11";Pulling;1072.85;0.0085647274
="11,12";Pushing;1528.43;-0.0002867055
="3,9";Pulling;1060.94;0.0075280839
="5,6";Pushing;1533.80;-0.0001418752
="3,7";Pulling;1061.00;0.0075237434
="3,8";Pulling;1069.19;0.0079018287
="4,14";Pulling;1057.08;0.0075476989
="3,4";Pushing;1526.81;-0.0003173850
="17,18";Pushing;3071.69;-0.0003186512
="4,13";Pulling;1072.48;0.0085413801
="9,10";Pushing;1529.78;-0.0002516143
="7,8";Pushing;1529.74;-0.0002538434
="15,16";Pushing;3068.47;-0.0003276932
="13,14";Pushing;1528.46;-0.0002856680
="29,26";Pulling;953.82;0.0022875010
="25,26";Pushing;1630.30;-0.0004112606
="29,30";Pushing;1628.81;-0.0004304727
="10,14";Pulling;953.85;0.0008084599
="8,12";Pulling;942.12;0.0008840786
="9,13";Pulling;861.84;0.0006855923
="7,11";Pulling;861.48;0.0007343614
="76,84";Pulling;1139.48;0.0077274991
="84,87";Pulling;999.71;0.0041847113
="33,34";Pushing;1625.89;-0.0004178200
="33,32";Pulling;951.37;0.0033061807
="35,36";Pushing;1625.70;-0.0004196612
="72,60";Pulling;971.84;0.0033702552
="60,67";Pulling;1113.12;0.0070998534
="67,72";Pulling;1010.74;0.0045839669
="47,44";Pulling;1025.48;0.0043753367
="43,44";Pushing;1682.49;-0.0004813834
="47,48";Pushing;1684.48;-0.0004418681
="6,13";Pulling;956.02;0.0017511237
="13,18";Pulling;1014.57;0.0052665588
="41,38";Pulling;945.81;0.0031483998
="37,38";Pushing;1625.72;-0.0004140601
="41,42";Pushing;1627.15;-0.0004342676
="21,22";Pushing;1629.81;-0.0003655411
="21,20";Pulling;947.92;0.0027595989
="23,24";Pushing;1630.29;-0.0004071689
="19,24";Pulling;953.88;0.0022982350
="19,20";Pushing;1628.81;-0.0004328569
="23,22";Pulling;962.22;0.0011722661
="27,30";Pulling;947.91;0.0027667056
="25,28";Pulling;962.42;0.0011669432
="27,28";Pushing;1629.81;-0.0003643502
="51,52";Pushing;1684.58;-0.0004447935
="51,50";Pulling;1039.26;0.0055225068
="53,54";Pushing;1682.49;-0.0004841941
="23,17";Pulling;682.40;0.0103190327
="23,1";Pulling;681.38;0.0071495720
="21,1";Pulling;689.35;0.0076252860
="21,7";Pulling;624.15;0.0050944937
="19,7";Pulling;707.14;0.0104086716
="19,17";Pulling;652.94;0.0080534546
="55,61";Pulling;1233.31;0.0080257971
="71,72";Pushing;3173.50;-0.0004087659
="55,63";Pulling;1227.91;0.0081849443
="31,36";Pulling;945.89;0.0031530689
="31,32";Pushing;1627.16;-0.0004324013
="35,34";Pulling;965.62;0.0035177041
="25,18";Pulling;682.27;0.0103056971
="25,5";Pulling;681.36;0.0071381857
="27,5";Pulling;689.35;0.0076329806
="27,9";Pulling;623.95;0.0050959922
="29,9";Pulling;707.15;0.0104130013
="29,18";Pulling;652.95;0.0080639683
="39,42";Pulling;951.49;0.0033060783
="37,40";Pulling;965.46;0.0035043561
="39,40";Pushing;1625.89;-0.0004194614
="73,82";Pulling;1235.29;0.0092951767
="89,90";Pushing;3173.50;-0.0004095313
="77,78";Pushing;1780.69;-0.0004657660
="35,15";Pulling;671.87;0.0082390932
="35,2";Pulling;678.67;0.0091016740
="33,2";Pulling;679.98;0.0086600222
="33,12";Pulling;622.54;0.0057805572
="31,12";Pulling;703.11;0.0104971873
="31,15";Pulling;625.84;0.0069257300
="93,94";Pushing;1744.83;-0.0004105308
="93,92";Pulling;1035.83;0.0028075066
="95,96";Pushing;1745.73;-0.0004347929
="45,48";Pulling;1039.28;0.0055356408
="43,46";Pulling;1029.39;0.0043336442
="45,46";Pushing;1684.60;-0.0004409739
="37,16";Pulling;671.78;0.0082349125
="37,6";Pulling;678.70;0.0090995701
="39,6";Pulling;679.91;0.0086508952
="39,14";Pulling;622.33;0.0057626171
="41,14";Pulling;703.47;0.0105075827
="41,16";Pulling;625.92;0.0069254600
="101,98";Pulling;1045.89;0.0036794962
="97,98";Pushing;1745.73;-0.0004351401
="101,102";Pushing;1743.26;-0.0004447960
="49,54";Pulling;1025.46;0.0043605026
="49,50";Pushing;1684.47;-0.0004446778
="53,52";Pulling;1029.46;0.0043355059
="43,20";Pulling;753.29;0.0103042945
="43,22";Pulling;733.12;0.0098816166
="45,22";Pulling;731.97;0.0089234170
="45,24";Pulling;735.42;0.0098758377
="47,24";Pulling;738.29;0.0098499106
="47,20";Pulling;733.89;0.0101952702
="69,70";Pushing;3184.30;-0.0003480179
="55,68";Pulling;960.88;0.0009031863
="56,62";Pulling;946.18;0.0008440188
="107,104";Pulling;975.67;0.0046320027
="103,104";Pushing;1530.26;-0.0004138130
="107,108";Pushing;1528.39;-0.0004406078
="53,30";Pulling;753.30;0.0103169810
="53,28";Pulling;733.01;0.0098858774
="51,28";Pulling;731.96;0.0089317998
="51,26";Pulling;735.41;0.0098676011
="49,26";Pulling;738.28;0.0098371748
="49,30";Pulling;733.84;0.0101962471
="65,66";Pushing;1930.06;-0.0005297785
="55,64";Pulling;1216.71;0.0079997927
="61,62";Pushing;1932.26;-0.0004754961
="55,65";Pulling;942.77;0.0007289705
="59,60";Pushing;1780.69;-0.0004631067
="56,65";Pulling;1239.93;0.0092441030
="56,68";Pulling;1235.33;0.0093022231
="56,66";Pulling;1245.12;0.0092428271
="55,62";Pulling;1218.81;0.0081443777
="67,68";Pushing;1929.07;-0.0005312585
="56,63";Pulling;947.27;0.0009665410
="63,64";Pushing;1932.50;-0.0004679560
="56,67";Pulling;1251.68;0.0092248805
="57,58";Pushing;1781.57;-0.0004801216
="74,79";Pulling;942.76;0.0007235538
="73,84";Pulling;946.15;0.0008392141
="83,84";Pushing;1932.25;-0.0004788287
="2,11";Pulling;956.11;0.0017613407
="11,17";Pulling;1014.51;0.0052637588
="69,58";Pulling;946.96;0.0028766289
="58,66";Pulling;1105.11;0.0071535944
="66,69";Pulling;1007.12;0.0045166882
="87,75";Pulling;946.98;0.0028757448
="75,80";Pulling;1105.02;0.0071474514
="80,87";Pulling;1007.13;0.0045094015
="90,77";Pulling;971.89;0.0033687130
="77,81";Pulling;1113.08;0.0070931818
="81,90";Pulling;1010.74;0.0045820195
="176,178";Pulling;760.40;0.0047511752
="178,180";Pulling;744.87;0.0042396095
="180,176";Pulling;760.10;0.0047412850
="111,112";Pushing;1528.94;-0.0004313194
="111,110";Pulling;951.99;0.0038490260
="113,114";Pushing;1530.26;-0.0004131786
="71,58";Pulling;1125.51;0.0077518630
="58,65";Pulling;1136.22;0.0081942836
="65,71";Pulling;995.94;0.0041372757
="57,32";Pulling;767.27;0.0135536846
="57,34";Pulling;703.82;0.0103378594
="61,34";Pulling;651.67;0.0079500806
="61,36";Pulling;706.29;0.0100207217
="71,36";Pulling;663.55;0.0081727533
="71,32";Pulling;702.04;0.0106517030
="74,85";Pulling;1228.00;0.0081907930
="75,76";Pushing;1781.56;-0.0004840061
="87,88";Pushing;3184.31;-0.0003491595
="73,79";Pulling;1239.90;0.0092398291
="74,84";Pulling;1218.83;0.0081373220
="74,82";Pulling;960.84;0.0008955566
="73,80";Pulling;1245.10;0.0092496118
="73,81";Pulling;1251.66;0.0092250742
="74,83";Pulling;1233.32;0.0080179106
="79,80";Pushing;1930.06;-0.0005342461
="81,82";Pushing;1929.06;-0.0005338400
="74,86";Pulling;1216.67;0.0079974122
="85,86";Pushing;1932.51;-0.0004662574
="73,85";Pulling;947.24;0.0009685011
="23,191";Pulling;6385.38;0.0032865142
="57,62";Pulling;1139.31;0.0077314698
="62,69";Pulling;999.84;0.0041855602
="25,192";Pulling;6385.46;0.0032997131
="1,8";Pulling;929.96;0.0011308042
="8,15";Pulling;1025.05;0.0049262051
="119,116";Pulling;1054.46;0.0028707404
