Index;X;Y;Z
1;-20.77;4480.08;-1041.28
2;692.16;5837.54;-1077.61
3;55.68;4461.65;-0.04
4;693.68;5848.78;0.01
5;-20.39;4480.34;1042.85
6;692.86;5837.72;1079.13
7;816.54;4294.35;-720.32
8;-404.38;5209.40;-610.27
9;815.70;4293.97;720.96
10;-407.91;5205.53;611.09
11;1114.42;5098.84;-641.53
12;-56.21;6079.25;-708.96
13;1113.32;5098.90;641.73
14;-52.42;6085.05;710.60
15;-21.57;5433.17;-1534.46
16;-22.28;5434.25;1534.01
17;689.01;4877.68;-1535.59
18;688.60;4877.41;1536.10
19;1192.36;4703.29;-1158.02
20;-123.25;3744.81;-1098.98
21;260.51;4304.28;-436.97
22;307.33;4339.19;-2065.73
23;27.92;5023.40;-1449.58
24;1063.68;3771.48;-1316.33
25;27.76;5024.00;1450.74
26;1062.57;3771.35;1316.92
27;259.65;4304.12;438.10
28;307.32;4339.50;2066.83
29;1191.82;4702.98;1158.35
30;-124.33;3745.15;1100.40
31;-398.02;5570.70;-1053.78
32;748.62;6719.24;-1170.79
33;521.10;6108.40;-477.82
34;211.69;5901.48;-2060.53
35;626.56;5275.99;-1453.03
36;-443.78;6487.56;-1281.73
37;625.37;5275.29;1452.96
38;-439.24;6492.26;1283.95
39;525.04;6112.29;480.19
40;212.19;5900.57;2061.59
41;-396.79;5576.07;1052.97
42;754.10;6719.73;1175.80
43;-213.74;4341.31;-1550.03
44;795.39;3003.62;-1398.32
45;970.56;4353.32;-1756.37
46;-383.15;3350.79;-1773.22
47;542.49;3792.45;-793.84
48;625.80;3683.97;-2472.76
49;541.13;3792.43;794.71
50;625.70;3684.07;2473.57
51;970.34;4353.28;1757.02
52;-383.73;3351.28;1774.67
53;-213.93;4341.80;1551.46
54;794.49;3003.65;1399.03
55;168.23;6803.58;-2469.78
56;449.86;7548.42;-2346.33
57;739.20;6118.80;-1648.38
58;119.30;7702.48;-1117.65
59;-601.64;6946.31;-3367.86
60;951.70;7804.83;-3512.50
61;-352.53;5957.29;-1739.26
62;1155.95;7159.66;-1850.80
63;-334.63;7886.74;-2755.53
64;166.74;6182.34;-3515.94
65;-402.47;6896.45;-1725.14
66;1130.55;8028.93;-1421.09
67;295.38;8574.00;-3047.06
68;796.74;6716.82;-3191.41
